,control_category,control_code,control_name,document,control_text_corrected,full_control_text
481,configuration management,CM-02,baseline configuration,fedramp,"a. Develop, document, and maintain under configuration control a current baseline configuration of the system. 

b. Review and update the baseline configuration of the system as follows:
1. [Assignment: organization-defined frequency].
2. When required due to [Assignment: organization-defined circumstances].
3. When system components are installed or upgraded.

Baseline configurations for systems and system components include connectivity, operational, and communications aspects of systems. Baseline configurations are documented, formally reviewed, and agreed-upon specifications for systems or configuration items within those systems. Baseline configurations serve as a basis for future builds, releases, or changes to systems and include security and privacy control implementations, operational procedures, information about system components, network topology, and logical placement of components in the system architecture. 

Maintaining baseline configurations requires creating new baselines as organizational systems change over time. Baseline configurations of systems reflect the current enterprise architecture.","Configuration management. Baseline configuration. a. Develop, document, and maintain under configuration control a current baseline configuration of the system. 

b. Review and update the baseline configuration of the system as follows:
1. [Assignment: organization-defined frequency].
2. When required due to [Assignment: organization-defined circumstances].
3. When system components are installed or upgraded.

Baseline configurations for systems and system components include connectivity, operational, and communications aspects of systems. Baseline configurations are documented, formally reviewed, and agreed-upon specifications for systems or configuration items within those systems. Baseline configurations serve as a basis for future builds, releases, or changes to systems and include security and privacy control implementations, operational procedures, information about system components, network topology, and logical placement of components in the system architecture. 

Maintaining baseline configurations requires creating new baselines as organizational systems change over time. Baseline configurations of systems reflect the current enterprise architecture."
482,configuration management,CM-02 (02),baseline configuration | automation support for accuracy and currency,fedramp,"Maintain the currency, completeness, accuracy, and availability of the baseline configuration of the system using [assignment: organization-defined automated mechanisms]. Automated mechanisms that help organizations maintain consistent baseline configurations for systems include configuration management tools, hardware, software, firmware inventory tools, and network management tools. Automated tools can be used at the organization level, mission and business process level, or system level on workstations, servers, notebook computers, network components, or mobile devices. Tools can be used to track version numbers on operating systems, applications, types of software installed, and current patch levels. Automation support for accuracy and currency can be satisfied by the implementation of CM-8 (2) for organizations that combine system component inventory and baseline configuration activities.","Configuration management. Baseline configuration | automation support for accuracy and currency. Maintain the currency, completeness, accuracy, and availability of the baseline configuration of the system using [assignment: organization-defined automated mechanisms]. Automated mechanisms that help organizations maintain consistent baseline configurations for systems include configuration management tools, hardware, software, firmware inventory tools, and network management tools. Automated tools can be used at the organization level, mission and business process level, or system level on workstations, servers, notebook computers, network components, or mobile devices. Tools can be used to track version numbers on operating systems, applications, types of software installed, and current patch levels. Automation support for accuracy and currency can be satisfied by the implementation of CM-8 (2) for organizations that combine system component inventory and baseline configuration activities."
483,configuration management,CM-02 (03),baseline configuration | retention of previous configurations,fedramp,"Retain [assignment: organization-defined number] of previous versions of baseline configurations of the system to support rollback. Retaining previous versions of baseline configurations to support rollback includes hardware, software, firmware, configuration files, configuration records, and associated documentation.","Configuration management. Baseline configuration | retention of previous configurations. Retain [assignment: organization-defined number] of previous versions of baseline configurations of the system to support rollback. Retaining previous versions of baseline configurations to support rollback includes hardware, software, firmware, configuration files, configuration records, and associated documentation."
484,configuration management,CM-02 (07),baseline configuration | configure systems and components for high-risk areas,fedramp,"(a) Issue [assignment: organization-defined systems or system components] with [assignment: organization-defined configurations] to individuals traveling to locations that the organization deems to be of significant risk; and (b) apply the following controls to the systems or components when the individuals return from travel: [assignment: organization-defined controls]. When it is known that systems or system components will be in high-risk areas external to the organization, additional controls may be implemented to counter the increased threat in such areas. For example, organizations can take actions for notebook computers used by individuals departing on and returning from travel. Actions include determining the locations that are of concern, defining the required configurations for the components, ensuring that components are configured as intended before travel is initiated, and applying controls to the components after travel is completed. Specially configured notebook computers include computers with sanitized hard drives, limited applications, and more stringent configuration settings. Controls applied to mobile devices upon return from travel include examining the mobile device for signs of physical tampering and purging and reimaging disk drives. Protecting information that resides on mobile devices is addressed in the MP (Media Protection) family.","Configuration management. Baseline configuration | configure systems and components for high-risk areas. (a) Issue [assignment: organization-defined systems or system components] with [assignment: organization-defined configurations] to individuals traveling to locations that the organization deems to be of significant risk; and (b) apply the following controls to the systems or components when the individuals return from travel: [assignment: organization-defined controls]. When it is known that systems or system components will be in high-risk areas external to the organization, additional controls may be implemented to counter the increased threat in such areas. For example, organizations can take actions for notebook computers used by individuals departing on and returning from travel. Actions include determining the locations that are of concern, defining the required configurations for the components, ensuring that components are configured as intended before travel is initiated, and applying controls to the components after travel is completed. Specially configured notebook computers include computers with sanitized hard drives, limited applications, and more stringent configuration settings. Controls applied to mobile devices upon return from travel include examining the mobile device for signs of physical tampering and purging and reimaging disk drives. Protecting information that resides on mobile devices is addressed in the MP (Media Protection) family."
485,configuration management,CM-03,configuration change control,fedramp,"A. Determine and document the types of changes to the system that are configuration-controlled.
B. Review proposed configuration-controlled changes to the system and approve or disapprove such changes with explicit consideration for security and privacy impact analyses.
C. Document configuration change decisions associated with the system.
D. Implement approved configuration-controlled changes to the system.
E. Retain records of configuration-controlled changes to the system for [assignment: organization-defined time period].
F. Monitor and review activities associated with configuration-controlled changes to the system.
G. Coordinate and provide oversight for configuration change control activities through [assignment: organization-defined configuration change control element] that convenes [selection (one or more): [assignment: organization-defined frequency]; when [assignment: organization-defined configuration change conditions]].

Configuration change control for organizational systems involves the systematic proposal, justification, implementation, testing, review, and disposition of system changes, including system upgrades and modifications. Configuration change control includes changes to baseline configurations, configuration items of systems, operational procedures, configuration settings for system components, remediate vulnerabilities, and unscheduled or unauthorized changes. Processes for managing configuration changes to systems include configuration control boards or change advisory boards that review and approve proposed changes. For changes that impact privacy risk, the senior agency official for privacy updates privacy impact assessments and system of records notices. For new systems or major upgrades, organizations consider including representatives from the development organizations on the configuration control boards or change advisory boards. Auditing of changes includes activities before and after changes are made to systems and the auditing activities required to implement such changes. See also SA-10.","Configuration management. Configuration change control. A. Determine and document the types of changes to the system that are configuration-controlled.
B. Review proposed configuration-controlled changes to the system and approve or disapprove such changes with explicit consideration for security and privacy impact analyses.
C. Document configuration change decisions associated with the system.
D. Implement approved configuration-controlled changes to the system.
E. Retain records of configuration-controlled changes to the system for [assignment: organization-defined time period].
F. Monitor and review activities associated with configuration-controlled changes to the system.
G. Coordinate and provide oversight for configuration change control activities through [assignment: organization-defined configuration change control element] that convenes [selection (one or more): [assignment: organization-defined frequency]; when [assignment: organization-defined configuration change conditions]].

Configuration change control for organizational systems involves the systematic proposal, justification, implementation, testing, review, and disposition of system changes, including system upgrades and modifications. Configuration change control includes changes to baseline configurations, configuration items of systems, operational procedures, configuration settings for system components, remediate vulnerabilities, and unscheduled or unauthorized changes. Processes for managing configuration changes to systems include configuration control boards or change advisory boards that review and approve proposed changes. For changes that impact privacy risk, the senior agency official for privacy updates privacy impact assessments and system of records notices. For new systems or major upgrades, organizations consider including representatives from the development organizations on the configuration control boards or change advisory boards. Auditing of changes includes activities before and after changes are made to systems and the auditing activities required to implement such changes. See also SA-10."
486,configuration management,CM-03 (01),"configuration change control | automated documentation, notification, and prohibition of changes",fedramp,"Use [assignment: organization-defined automated mechanisms] to:
(a) document proposed changes to the system.
(b) notify [assignment: organization-defined approval authorities] of proposed changes to the system and request change approval.
(c) highlight proposed changes to the system that have not been approved or disapproved within [assignment: organization-defined time period].
(d) prohibit changes to the system until designated approvals are received.
(e) document all changes to the system.
(f) notify [assignment: organization-defined personnel] when approved changes to the system are completed.
None.","Configuration management. Configuration change control | automated documentation, notification, and prohibition of changes. Use [assignment: organization-defined automated mechanisms] to:
(a) document proposed changes to the system.
(b) notify [assignment: organization-defined approval authorities] of proposed changes to the system and request change approval.
(c) highlight proposed changes to the system that have not been approved or disapproved within [assignment: organization-defined time period].
(d) prohibit changes to the system until designated approvals are received.
(e) document all changes to the system.
(f) notify [assignment: organization-defined personnel] when approved changes to the system are completed.
None."
487,configuration management,CM-03 (02),"configuration change control | testing, validation, and documentation of changes",fedramp,"Test, validate, and document changes to the system before finalizing the implementation of the changes. Changes to systems include modifications to hardware, software, or firmware components and configuration settings defined in CM-6. Organizations ensure that testing does not interfere with system operations that support organizational mission and business functions. Individuals or groups conducting tests understand security and privacy policies and procedures, system security and privacy policies and procedures, and the health, safety, and environmental risks associated with specific facilities or processes. Operational systems may need to be taken offline, or replicated to the extent feasible, before testing can be conducted. If systems must be taken offline for testing, the tests are scheduled to occur during planned system outages whenever possible. If the testing cannot be conducted on operational systems, organizations employ compensating controls.","Configuration management. Configuration change control | testing, validation, and documentation of changes. Test, validate, and document changes to the system before finalizing the implementation of the changes. Changes to systems include modifications to hardware, software, or firmware components and configuration settings defined in CM-6. Organizations ensure that testing does not interfere with system operations that support organizational mission and business functions. Individuals or groups conducting tests understand security and privacy policies and procedures, system security and privacy policies and procedures, and the health, safety, and environmental risks associated with specific facilities or processes. Operational systems may need to be taken offline, or replicated to the extent feasible, before testing can be conducted. If systems must be taken offline for testing, the tests are scheduled to occur during planned system outages whenever possible. If the testing cannot be conducted on operational systems, organizations employ compensating controls."
488,configuration management,CM-03 (04),configuration change control | security and privacy representatives,fedramp,"Require organization-defined security and privacy representatives to be members of the organization-defined configuration change control element. Information security and privacy representatives include system security officers, senior agency information security officers, senior agency officials for privacy, or system privacy officers. Representation by personnel with information security and privacy expertise is important because changes to system configurations can have unintended side effects, some of which may be security- or privacy-relevant. Detecting such changes early in the process can help avoid unintended, negative consequences that could ultimately affect the security and privacy posture of systems. The configuration change control element referred to in the second organization-defined parameter reflects the change control elements defined by organizations in CM-3g.","Configuration management. Configuration change control | security and privacy representatives. Require organization-defined security and privacy representatives to be members of the organization-defined configuration change control element. Information security and privacy representatives include system security officers, senior agency information security officers, senior agency officials for privacy, or system privacy officers. Representation by personnel with information security and privacy expertise is important because changes to system configurations can have unintended side effects, some of which may be security- or privacy-relevant. Detecting such changes early in the process can help avoid unintended, negative consequences that could ultimately affect the security and privacy posture of systems. The configuration change control element referred to in the second organization-defined parameter reflects the change control elements defined by organizations in CM-3g."
489,configuration management,CM-03 (06),configuration change control | cryptography management,fedramp,"Ensure that cryptographic mechanisms used to provide the following controls are under configuration management: [assignment: organization-defined controls]. The controls referenced in the control enhancement refer to security and privacy controls from the control catalog. Regardless of the cryptographic mechanisms employed, processes and procedures are in place to manage those mechanisms. For example, if system components use certificates for identification and authentication, a process is implemented to address the expiration of those certificates.","Configuration management. Configuration change control | cryptography management. Ensure that cryptographic mechanisms used to provide the following controls are under configuration management: [assignment: organization-defined controls]. The controls referenced in the control enhancement refer to security and privacy controls from the control catalog. Regardless of the cryptographic mechanisms employed, processes and procedures are in place to manage those mechanisms. For example, if system components use certificates for identification and authentication, a process is implemented to address the expiration of those certificates."
490,configuration management,CM-04,impact analyses,fedramp,"Analyze changes to the system to determine potential security and privacy impacts prior to change implementation. Organizational personnel with security or privacy responsibilities conduct impact analyses. Individuals conducting impact analyses possess the necessary skills and technical expertise to analyze the changes to systems as well as the security or privacy ramifications.

Impact analyses include:
- Reviewing security and privacy plans, policies, and procedures to understand control requirements.
- Reviewing system design documentation and operational procedures to understand control implementation and how specific system changes might affect the controls.
- Reviewing the impact of changes on organizational supply chain partners with stakeholders.
- Determining how potential changes to a system create new risks to the privacy of individuals and the ability of implemented controls to mitigate those risks.

Impact analyses also include risk assessments to understand the impact of the changes and determine if additional controls are required.","Configuration management. Impact analyses. Analyze changes to the system to determine potential security and privacy impacts prior to change implementation. Organizational personnel with security or privacy responsibilities conduct impact analyses. Individuals conducting impact analyses possess the necessary skills and technical expertise to analyze the changes to systems as well as the security or privacy ramifications.

Impact analyses include:
- Reviewing security and privacy plans, policies, and procedures to understand control requirements.
- Reviewing system design documentation and operational procedures to understand control implementation and how specific system changes might affect the controls.
- Reviewing the impact of changes on organizational supply chain partners with stakeholders.
- Determining how potential changes to a system create new risks to the privacy of individuals and the ability of implemented controls to mitigate those risks.

Impact analyses also include risk assessments to understand the impact of the changes and determine if additional controls are required."
491,configuration management,CM-04 (01),impact analyses | separate test environments,fedramp,"Analyze changes to the system in a separate test environment before implementation in an operational environment, looking for security and privacy impacts due to flaws, weaknesses, incompatibility, or intentional malice. A separate test environment requires an environment that is physically or logically separate and distinct from the operational environment. The separation is sufficient to ensure that activities in the test environment do not impact activities in the operational environment and that information in the operational environment is not inadvertently transmitted to the test environment. Separate environments can be achieved by physical or logical means. If physically separate test environments are not implemented, organizations determine the strength of the mechanism required when implementing logical separation.","Configuration management. Impact analyses | separate test environments. Analyze changes to the system in a separate test environment before implementation in an operational environment, looking for security and privacy impacts due to flaws, weaknesses, incompatibility, or intentional malice. A separate test environment requires an environment that is physically or logically separate and distinct from the operational environment. The separation is sufficient to ensure that activities in the test environment do not impact activities in the operational environment and that information in the operational environment is not inadvertently transmitted to the test environment. Separate environments can be achieved by physical or logical means. If physically separate test environments are not implemented, organizations determine the strength of the mechanism required when implementing logical separation."
492,configuration management,CM-04 (02),impact analyses | verification of controls,fedramp,"After system changes, verify that the impacted controls are implemented correctly, operating as intended, and producing the desired outcome with regard to meeting the security and privacy requirements for the system. Implementation in this context refers to installing changed code in the operational system that may have an impact on security or privacy controls.","Configuration management. Impact analyses | verification of controls. After system changes, verify that the impacted controls are implemented correctly, operating as intended, and producing the desired outcome with regard to meeting the security and privacy requirements for the system. Implementation in this context refers to installing changed code in the operational system that may have an impact on security or privacy controls."
493,configuration management,CM-05,access restrictions for change,fedramp,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system. Changes to the hardware, software, or firmware components of systems or the operational procedures related to the system can potentially have significant effects on the security of the systems or individuals' privacy. Therefore, organizations permit only qualified and authorized individuals to access systems for purposes of initiating changes. Access restrictions include physical and logical access controls (see AC-3 and PE-3), software libraries, workflow automation, media libraries, abstract layers (i.e., changes implemented into external interfaces rather than directly into systems), and change windows (i.e., changes occur only during specified times).","Configuration management. Access restrictions for change. Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system. Changes to the hardware, software, or firmware components of systems or the operational procedures related to the system can potentially have significant effects on the security of the systems or individuals' privacy. Therefore, organizations permit only qualified and authorized individuals to access systems for purposes of initiating changes. Access restrictions include physical and logical access controls (see AC-3 and PE-3), software libraries, workflow automation, media libraries, abstract layers (i.e., changes implemented into external interfaces rather than directly into systems), and change windows (i.e., changes occur only during specified times)."
494,configuration management,CM-05 (01),access restrictions for change | automated access enforcement and audit records,fedramp,"(a) Enforce access restrictions using organization-defined automated mechanisms. 
(b) Automatically generate audit records of the enforcement actions. 
Organizations log system accesses associated with applying configuration changes to ensure that configuration change control is implemented and to support after-the-fact actions should organizations discover any unauthorized changes.","Configuration management. Access restrictions for change | automated access enforcement and audit records. (a) Enforce access restrictions using organization-defined automated mechanisms. 
(b) Automatically generate audit records of the enforcement actions. 
Organizations log system accesses associated with applying configuration changes to ensure that configuration change control is implemented and to support after-the-fact actions should organizations discover any unauthorized changes."
495,configuration management,CM-05 (05),access restrictions for change | privilege limitation for production and operation,fedramp,"(a) Limit privileges to change system components and system-related information within a production or operational environment; and (b) review and reevaluate privileges [assignment: organization-defined frequency]. In many organizations, systems support multiple mission and business functions. Limiting privileges to change system components with respect to operational systems is necessary because changes to a system component may have far-reaching effects on mission and business processes supported by the system. The relationships between systems and mission/business processes are, in some cases, unknown to developers. System-related information includes operational procedures.","Configuration management. Access restrictions for change | privilege limitation for production and operation. (a) Limit privileges to change system components and system-related information within a production or operational environment; and (b) review and reevaluate privileges [assignment: organization-defined frequency]. In many organizations, systems support multiple mission and business functions. Limiting privileges to change system components with respect to operational systems is necessary because changes to a system component may have far-reaching effects on mission and business processes supported by the system. The relationships between systems and mission/business processes are, in some cases, unknown to developers. System-related information includes operational procedures."
496,configuration management,CM-06,configuration settings,fedramp,"A. Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using [assignment: organization-defined common secure configurations].
B. Implement the configuration settings.
C. Identify, document, and approve any deviations from established configuration settings for [assignment: organization-defined system components] based on [assignment: organization-defined operational requirements].
D. Monitor and control changes to the configuration settings in accordance with organizational policies and procedures.

Configuration settings are the parameters that can be changed in the hardware, software, or firmware components of the system that affect the security and privacy posture or functionality of the system. Information technology products for which configuration settings can be defined include mainframe computers, servers, workstations, operating systems, mobile devices, input/output devices, protocols, and applications. Parameters that impact the security posture of systems include registry settings; account, file, or directory permission settings; and settings for functions, protocols, ports, services, and remote connections. Privacy parameters are parameters impacting the privacy posture of systems, including the parameters required to satisfy other privacy controls. Privacy parameters include settings for access controls, data processing preferences, and processing and retention permissions.

Organizations establish organization-wide configuration settings and subsequently derive specific configuration settings for systems. The established settings become part of the configuration baseline for the system. Common secure configurations (also known as security configuration checklists, lockdown and hardening guides, and security reference guides) provide recognized, standardized, and established benchmarks that stipulate secure configuration settings for information technology products and platforms as well as instructions for configuring those products or platforms to meet operational requirements. Common secure configurations can be developed by a variety of organizations, including information technology product developers, manufacturers, vendors, federal agencies, consortia, academia, industry, and other organizations in the public and private sectors.

Implementation of a common secure configuration may be mandated at the organization level, mission and business process level, system level, or at a higher level, including by a regulatory agency. Common secure configurations include the United States Government Configuration Baseline (USGCB) and Security Technical Implementation Guides (STIGs), which affect the implementation of CM-6 and other controls such as AC-19 and CM-7. The Security Content Automation Protocol (SCAP) and the defined standards within the protocol provide an effective method to uniquely identify, track, and control configuration settings.","Configuration management. Configuration settings. A. Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using [assignment: organization-defined common secure configurations].
B. Implement the configuration settings.
C. Identify, document, and approve any deviations from established configuration settings for [assignment: organization-defined system components] based on [assignment: organization-defined operational requirements].
D. Monitor and control changes to the configuration settings in accordance with organizational policies and procedures.

Configuration settings are the parameters that can be changed in the hardware, software, or firmware components of the system that affect the security and privacy posture or functionality of the system. Information technology products for which configuration settings can be defined include mainframe computers, servers, workstations, operating systems, mobile devices, input/output devices, protocols, and applications. Parameters that impact the security posture of systems include registry settings; account, file, or directory permission settings; and settings for functions, protocols, ports, services, and remote connections. Privacy parameters are parameters impacting the privacy posture of systems, including the parameters required to satisfy other privacy controls. Privacy parameters include settings for access controls, data processing preferences, and processing and retention permissions.

Organizations establish organization-wide configuration settings and subsequently derive specific configuration settings for systems. The established settings become part of the configuration baseline for the system. Common secure configurations (also known as security configuration checklists, lockdown and hardening guides, and security reference guides) provide recognized, standardized, and established benchmarks that stipulate secure configuration settings for information technology products and platforms as well as instructions for configuring those products or platforms to meet operational requirements. Common secure configurations can be developed by a variety of organizations, including information technology product developers, manufacturers, vendors, federal agencies, consortia, academia, industry, and other organizations in the public and private sectors.

Implementation of a common secure configuration may be mandated at the organization level, mission and business process level, system level, or at a higher level, including by a regulatory agency. Common secure configurations include the United States Government Configuration Baseline (USGCB) and Security Technical Implementation Guides (STIGs), which affect the implementation of CM-6 and other controls such as AC-19 and CM-7. The Security Content Automation Protocol (SCAP) and the defined standards within the protocol provide an effective method to uniquely identify, track, and control configuration settings."
497,configuration management,CM-06 (01),"configuration settings | automated management, application, and verification",fedramp,"Manage, apply, and verify configuration settings for [assignment: organization-defined system components] using [assignment: organization-defined automated mechanisms]. Automated tools (e.g., hardening tools, baseline configuration tools) can improve the accuracy, consistency, and availability of configuration settings information. Automation can also provide data aggregation and data correlation capabilities, alerting mechanisms, and dashboards to support risk-based decision-making within the organization.","Configuration management. Configuration settings | automated management, application, and verification. Manage, apply, and verify configuration settings for [assignment: organization-defined system components] using [assignment: organization-defined automated mechanisms]. Automated tools (e.g., hardening tools, baseline configuration tools) can improve the accuracy, consistency, and availability of configuration settings information. Automation can also provide data aggregation and data correlation capabilities, alerting mechanisms, and dashboards to support risk-based decision-making within the organization."
498,configuration management,CM-06 (02),configuration settings | respond to unauthorized changes,fedramp,"Take the following actions in response to unauthorized changes to organization-defined configuration settings: alerting designated organizational personnel, restoring established configuration settings, or halting affected system processing in extreme cases.","Configuration management. Configuration settings | respond to unauthorized changes. Take the following actions in response to unauthorized changes to organization-defined configuration settings: alerting designated organizational personnel, restoring established configuration settings, or halting affected system processing in extreme cases."
499,configuration management,CM-07,least functionality,fedramp,"a. Configure the system to provide only [assignment: organization-defined mission essential capabilities]. 
b. Prohibit or restrict the use of the following functions, ports, protocols, software, and/or services: [assignment: organization-defined prohibited or restricted functions, system ports, protocols, software, and/or services].

Systems provide a wide variety of functions and services. Some of the functions and services routinely provided by default may not be necessary to support essential organizational missions, functions, or operations. Additionally, it is sometimes convenient to provide multiple services from a single system component, but doing so increases risk over limiting the services provided by that single component.

Where feasible, organizations limit component functionality to a single function per component. Organizations consider removing unused or unnecessary software and disabling unused or unnecessary physical and logical ports and protocols to prevent unauthorized connection of components, transfer of information, and tunneling. Organizations employ network scanning tools, intrusion detection and prevention systems, and end-point protection technologies, such as firewalls and host-based intrusion detection systems, to identify and prevent the use of prohibited functions, protocols, ports, and services.

Least functionality can also be achieved as part of the fundamental design and development of the system (see SA-8, SC-2, and SC-3).","Configuration management. Least functionality. a. Configure the system to provide only [assignment: organization-defined mission essential capabilities]. 
b. Prohibit or restrict the use of the following functions, ports, protocols, software, and/or services: [assignment: organization-defined prohibited or restricted functions, system ports, protocols, software, and/or services].

Systems provide a wide variety of functions and services. Some of the functions and services routinely provided by default may not be necessary to support essential organizational missions, functions, or operations. Additionally, it is sometimes convenient to provide multiple services from a single system component, but doing so increases risk over limiting the services provided by that single component.

Where feasible, organizations limit component functionality to a single function per component. Organizations consider removing unused or unnecessary software and disabling unused or unnecessary physical and logical ports and protocols to prevent unauthorized connection of components, transfer of information, and tunneling. Organizations employ network scanning tools, intrusion detection and prevention systems, and end-point protection technologies, such as firewalls and host-based intrusion detection systems, to identify and prevent the use of prohibited functions, protocols, ports, and services.

Least functionality can also be achieved as part of the fundamental design and development of the system (see SA-8, SC-2, and SC-3)."
500,configuration management,CM-07 (01),least functionality | periodic review,fedramp,"(A) Review the system [assignment: organization-defined frequency] to identify unnecessary and/or nonsecure functions, ports, protocols, software, and services; and (B) disable or remove [assignment: organization-defined functions, ports, protocols, software, and services within the system deemed to be unnecessary and/or nonsecure]. Organizations review functions, ports, protocols, and services provided by systems or system components to determine the functions and services that are candidates for elimination. Such reviews are especially important during transition periods from older technologies to newer technologies (e.g., transition from IPv4 to IPv6). These technology transitions may require implementing the older and newer technologies simultaneously during the transition period and returning to minimum essential functions, ports, protocols, and services at the earliest opportunity. Organizations can either decide the relative security of the function, port, protocol, and/or service or base the security decision on the assessment of other entities. Insecure protocols include Bluetooth, FTP, and peer-to-peer networking.","Configuration management. Least functionality | periodic review. (A) Review the system [assignment: organization-defined frequency] to identify unnecessary and/or nonsecure functions, ports, protocols, software, and services; and (B) disable or remove [assignment: organization-defined functions, ports, protocols, software, and services within the system deemed to be unnecessary and/or nonsecure]. Organizations review functions, ports, protocols, and services provided by systems or system components to determine the functions and services that are candidates for elimination. Such reviews are especially important during transition periods from older technologies to newer technologies (e.g., transition from IPv4 to IPv6). These technology transitions may require implementing the older and newer technologies simultaneously during the transition period and returning to minimum essential functions, ports, protocols, and services at the earliest opportunity. Organizations can either decide the relative security of the function, port, protocol, and/or service or base the security decision on the assessment of other entities. Insecure protocols include Bluetooth, FTP, and peer-to-peer networking."
501,configuration management,CM-07 (02),least functionality | prevent program execution,fedramp,"Prevent program execution in accordance with [selection (one or more): [assignment: organization-defined policies, rules of behavior, and/or access agreements regarding software program usage and restrictions]; rules authorizing the terms and conditions of software program usage]. Prevention of program execution addresses organizational policies, rules of behavior, and/or access agreements that restrict software usage and the terms and conditions imposed by the developer or manufacturer, including software licensing and copyrights. Restrictions include prohibiting auto-execute features, restricting roles allowed to approve program execution, permitting or prohibiting specific software programs, or restricting the number of program instances executed at the same time.","Configuration management. Least functionality | prevent program execution. Prevent program execution in accordance with [selection (one or more): [assignment: organization-defined policies, rules of behavior, and/or access agreements regarding software program usage and restrictions]; rules authorizing the terms and conditions of software program usage]. Prevention of program execution addresses organizational policies, rules of behavior, and/or access agreements that restrict software usage and the terms and conditions imposed by the developer or manufacturer, including software licensing and copyrights. Restrictions include prohibiting auto-execute features, restricting roles allowed to approve program execution, permitting or prohibiting specific software programs, or restricting the number of program instances executed at the same time."
502,configuration management,CM-07 (05),least functionality | authorized software — allow-by-exception,fedramp,"(a) Identify [assignment: organization-defined software programs authorized to execute on the system]. 
(b) Employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs on the system. 
(c) Review and update the list of authorized software programs [assignment: organization-defined frequency]. Authorized software programs can be limited to specific versions or from a specific source. 
To facilitate a comprehensive authorized software process and increase the strength of protection for attacks that bypass application-level authorized software, software programs may be decomposed into and monitored at different levels of detail. These levels include applications, application programming interfaces, application modules, scripts, system processes, system services, kernel functions, registries, drivers, and dynamic link libraries. 
The concept of permitting the execution of authorized software may also be applied to user actions, system ports and protocols, IP addresses/ranges, websites, and MAC addresses. Organizations consider verifying the integrity of authorized software programs using digital signatures, cryptographic checksums, or hash functions. Verification of authorized software can occur either prior to execution or at system startup. The identification of authorized URLs for websites is addressed in CA-3 (5) and SC-7.","Configuration management. Least functionality | authorized software — allow-by-exception. (a) Identify [assignment: organization-defined software programs authorized to execute on the system]. 
(b) Employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs on the system. 
(c) Review and update the list of authorized software programs [assignment: organization-defined frequency]. Authorized software programs can be limited to specific versions or from a specific source. 
To facilitate a comprehensive authorized software process and increase the strength of protection for attacks that bypass application-level authorized software, software programs may be decomposed into and monitored at different levels of detail. These levels include applications, application programming interfaces, application modules, scripts, system processes, system services, kernel functions, registries, drivers, and dynamic link libraries. 
The concept of permitting the execution of authorized software may also be applied to user actions, system ports and protocols, IP addresses/ranges, websites, and MAC addresses. Organizations consider verifying the integrity of authorized software programs using digital signatures, cryptographic checksums, or hash functions. Verification of authorized software can occur either prior to execution or at system startup. The identification of authorized URLs for websites is addressed in CA-3 (5) and SC-7."
